Rank,Artist,Peak,Prev,Streak,URL
62, Peaches,49,49,3,https://open.spotify.com/track/4w9soAM7IrmYDhSXLp14p6
63, DOGTOOTH,5,32,5,https://open.spotify.com/track/6OfOzTitafSnsaunQLuNFw
64, Pink + White,55,55,37,https://open.spotify.com/track/3xKsf9qdS1CyvXSMEid6g8
65, Sweater Weather,13,66,140,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
66, I Ain't Worried,7,63,47,https://open.spotify.com/track/4fYte8ZvTK14NEhAOZocBi
67, Shut up My Moms Calling,29,74,34,https://open.spotify.com/track/3hxIUxnT27p5WcmjGUXNwx
68, Glock In My Lap,8,70,17,https://open.spotify.com/track/6pcywuOeGGWeOQzdUyti6k
69, Low,4,64,20,https://open.spotify.com/track/2GAhgAjOhEmItWLfgisyOn
70, Don’t Blame Me,70,73,6,https://open.spotify.com/track/1R0a2iXumgCiFb7HEZ7gUE
71, The Color Violet,26,79,34,https://open.spotify.com/track/3azJifCSqg9fRij2yKIbWz
72, The Kind of Love We Make,15,71,45,https://open.spotify.com/track/48UKTR66uUOT9LaUvooTNx
73, family ties (with Kendrick Lamar),8,81,87,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
74, Thought You Should Know,17,72,51,https://open.spotify.com/track/3Qu3Zh4WTKhP9GEXo0aDnb
75, Me Porto Bonito,2,77,51,https://open.spotify.com/track/6Sq7ltF9Qa7SNFBsV5Cogx
76, Lovers Rock,76,88,14,https://open.spotify.com/track/6dBUzqjtbnIa1TwYbyw5CM
77, Ain’t That Some,6,67,8,https://open.spotify.com/track/2YVlDlk2zRceefo6XlC6DX
78, Dark Red,16,82,90,https://open.spotify.com/track/3EaJDYHA0KnX88JvDhL9oa
79, Escapism.,20,75,21,https://open.spotify.com/track/5mHdCZtVyb4DcJw8799hZp
80, All Of The Girls You Loved Before,5,61,6,https://open.spotify.com/track/4P9Q0GojKVXpRTJCaL3kyy
81, Whiskey Glasses,43,76,17,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
82, Heartless,40,80,69,https://open.spotify.com/track/4EWCNWgDS8707fNSZ1oaA5
83, Spin Bout U,6,83,25,https://open.spotify.com/track/2ZL7WZcjuYKi1KUDtp4kCC
84, Classy 101,84,106,2,https://open.spotify.com/track/6XSqqQIy7Lm7SnwxS4NrGx
85, Frágil,85,173,2,https://open.spotify.com/track/4JdSXF2p71cr8uCY3UiJM0
86, Everything I Love,8,68,13,https://open.spotify.com/track/03fs6oV5JAlbytRYf3371S
87, SORRY NOT SORRY,9,52,4,https://open.spotify.com/track/410ZZP746AQeiywhKvXWCo
88, WAIT FOR U (feat. Drake & Tems),3,84,52,https://open.spotify.com/track/59nOXPmaKlBfGMDeOVGrIK
89, cardigan,1,99,6,https://open.spotify.com/track/4R2kfaDFhslZEMJqAFNpdd
90, Ch y la Pizza,88,96,7,https://open.spotify.com/track/0UbesRsX2TtiCeamOIVEkp
91, Unholy (feat. Kim Petras),1,78,31,https://open.spotify.com/track/0NZPBYD5qbEWRs3PrGiRkT
92, Que Vuelvas,28,105,17,https://open.spotify.com/track/6Um358vY92UBv5DloTRX9L
93, Heart To Heart,30,93,19,https://open.spotify.com/track/7EAMXbLcL0qXmciM5SwMh2
94, Too Many Nights (feat. Don Toliver & with Future),10,112,21,https://open.spotify.com/track/2Hh3ETdQKrmSI3QS0hme7g
95, 505,18,90,95,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
96, Tití Me Preguntó,3,86,51,https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ
97, Starboy,3,101,43,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB
98, Style,98,107,6,https://open.spotify.com/track/0ug5NqcwcFR2xrfTkc7k8e
99, Chasin' You,55,85,17,https://open.spotify.com/track/5MwynWK9s4hlyKHqhkNn4A
100, Wet Dreamz,69,98,64,https://open.spotify.com/track/4tqcoej1zPvwePZCzuAjJd
101, Blank Space,100,100,6,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g
102, Freestyle,46,95,17,https://open.spotify.com/track/5BbdKBZO0TH0GhfxUfyhL9
103, Cowgirls (feat. ERNEST),32,92,8,https://open.spotify.com/track/7fveJ3pk1eSfxBdVkzdXZ0
104, PRIDE.,10,145,6,https://open.spotify.com/track/6IZvVAP7VPPnsGX6bvgkqg
105, Until I Found You (with Em Beihold) - Em Beihold Version,18,102,20,https://open.spotify.com/track/1Y3LN4zO1Edc2EluIoSPJN
106, Igualito a Mi Apá,106,122,3,https://open.spotify.com/track/17js0w8GTkTUFGFM6PYvBd
107, Stargirl Interlude,56,111,43,https://open.spotify.com/track/5gDWsRxpJ2lZAffh5p7K0w
108, I'm Good (Blue),8,97,35,https://open.spotify.com/track/4uUG5RXrOk84mYEfFvj3cK
109, Blue Hair,109,125,7,https://open.spotify.com/track/39sDitIeCMrVX2QyXHY46t
